,0,1
0,0,1.0
1,1,1.546083546109589
2,2,0.7507473590620929
3,3,1.199451581088568
4,4,0.644155375237461
5,5,0.9365590298738673
6,6,0.5475388486303728
7,7,0.7323372785853087
8,8,0.4615295841459033
9,9,0.5748478739748016
10,10,0.38626724640891597
11,11,0.45326115960553476
12,12,0.32135166517414043
13,13,0.3589487884157301
14,14,0.266023879533165
15,15,0.2853660555080055
16,16,0.21932575357345294
17,17,0.22762435148640014
18,18,0.1802227912424695
19,19,0.1820747377967572
20,20,0.14768930496622878
21,21,0.14597803331713446
22,22,0.12076155974705116
23,23,0.11726097483940365
24,24,0.09856659139893144
25,25,0.09434032445116976
26,26,0.0803340533730607
27,27,0.07599662576845004
28,28,0.06539709655519695
29,29,0.061283217488821116
30,30,0.05318674149242398
31,31,0.049460090461882794
32,32,0.04322283593669996
33,33,0.03994529191562913
34,34,0.03510362136272864
35,35,0.03227881824852254
36,36,0.02849515619083821
37,37,0.026095488435403786
38,38,0.023121310024057446
39,39,0.02110435067765197
40,40,0.018754692626954457
41,41,0.017072898919866217
42,42,0.015208660823143315
43,43,0.013814872136703514
44,44,0.012330414574847756
45,45,0.011180752126160414
46,46,0.009995119937258119
47,47,0.009050314735835787
48,48,0.008100960157316931
49,49,0.007326758215714673
50,50,0.006565002565453651
51,51,0.00593205290511871
52,52,0.005319768643115892
53,53,0.004803243583521913
54,54,0.004310401676285806
55,55,0.0038894995733759104
56,56,0.0034923369406961993
57,57,0.003149754902217932
58,58,0.00282939112322494
59,59,0.0025508161997174934
60,60,0.0022921993489520526
61,61,0.002065842778170415
62,62,0.0018569390490572146
63,63,0.0016731238078254707
64,64,0.0015042896423296153
65,65,0.0013550932748761927
66,66,0.0012185855083251735
67,67,0.0010975356671742461
68,68,0.0009871270266604993
69,69,0.0008889449199712716
70,70,0.0007996206351612681
71,71,0.0007200066964897606
72,72,0.0006477240403647654
73,73,0.000583180041475909
74,74,0.0005246770263147979
75,75,0.0004723591805325762
76,76,0.0004250018769201151
77,77,0.00038260001043000265
78,78,0.00034426036841034876
79,79,0.0003098988401752048
80,80,0.0002788567037601893
81,81,0.0002510133575152502
82,82,0.00022587773899083156
83,83,0.00020331773397251707
84,84,0.0001829634676612944
85,85,0.00016468534006769216
86,86,0.00014820204846718594
87,87,0.0001333937972246729
88,88,0.00012004473504873557
89,89,0.00010804810430637718
90,90,9.72369412199402e-05
91,91,8.751839273586732e-05
92,92,7.87623854859714e-05
93,93,7.08895229912357e-05
94,94,6.379783608336904e-05
95,95,5.742026750437196e-05
96,96,5.167644657751136e-05
97,97,4.651025520076703e-05
98,98,4.185805252168997e-05
99,99,3.767320076724838e-05
100,100,3.3905108356485116e-05
101,101,3.0515223110752985e-05
102,102,2.7463194071393282e-05
103,103,2.471728511387391e-05
104,104,2.2245224138112626e-05
105,105,2.0020971020292088e-05
106,106,1.8018655788350634e-05
107,107,1.621696689460195e-05
108,108,1.4595127090136067e-05
109,109,1.3135730304193562e-05
110,110,1.182206337604357e-05
111,111,1.0639933095642237e-05
